address,area,buildYear,date,floor,numOfRooms,price,pricePerMeter,size
ראשית חכמה 19,shapira,1965,13/8/2015,3,2.5,1400000,20863,44
לוינסקי 140,shapira,1970,02/7/2015,2,4,918000,25100,100
"ראב""ד 3",shapira,1960,03/6/2015,7,3,2510036,21160,56
ראב''ד 3,shapira,1970,03/6/2015,1,2,2510036,18404,47
ראב''ד 3,shapira,1950,03/6/2015,1,2,2506684,15862,58
דרך שלמה 84,shapira,1980,02/6/2015,1,3.5,1185000,18769,65
לוינסקי 140,shapira,2009,19/5/2015,2,6,865000,13247,234
קבוץ גלויות 77,shapira,1970,10/5/2015,1,5,920000,16816,100
השילוח 14,shapira,1970,10/5/2015,5,2,1220000,19000,50
הראב''ע 29,shapira,1970,10/5/2015,1,4,3100000,11900,100
חנוך 58,Hatikva,1966,24/3/2015,1,1.5,345000,17250,20
"הראב""ע 25",shapira,1960,10/5/2015,1,3.5,3100000,20666,75
לסקר 4,shapira,1970,06/5/2015,7,1,1681681,24615,13
לסקר 8,shapira,1970,06/5/2015,3,3,1681681,12533,75
טרפון 8,shapira,1970,26/4/2015,4,2,950000,18428,35
רצון 11,Hatikva,1950,18/2/2015,1,1,157143,18653,26
חנוך 58,Hatikva,1988,09/2/2015,1,4,485000,12800,125
אחיעזר 1,Hatikva,2015,02/2/2015,1,4,1600000,14473,76
אחיעזר 1,Hatikva,1960,01/2/2015,1,2.5,1100000,7630,100
המכבש 10,Hatikva,1950,29/1/2015,1,2.5,763048,11818,55
האסיף 16,shapira,1990,12/4/2015,1,1,1190000,19354,31
שטינברג 4,shapira,1970,22/2/2015,1,4,1550000,27096,155
שטיינברג 2,shapira,1952,22/2/2015,3,2,1550000,16323,34
דרך שלמה 121,shapira,2013,02/2/2015,1,3,320000,19900,100
רצון 11,Hatikva,1950,29/1/2015,1,1.5,763048,10344,29
"אצ""ל 11",Hatikva,1950,27/1/2015,1,3,650000,10921,76
שמחה 9,Hatikva,1950,19/1/2015,1,3,150000,14083,60
אב 16,shapira,1950,19/12/2014,1,1,940000,16333,10
גבעת בן יהודה,shapira,1970,12/9/2014,3,3,645000,17636,55
אביטל,Hatikva,1950,19/1/2015,1,3,300000,17200,75
רוני 11,Hatikva,1970,18/1/2015,1,4,130000,14500,100
אביטל 19,Hatikva,1970,14/1/2015,2,3,830000,13768,69
"אצ""ל 11",Hatikva,2008,11/1/2015,1,3,845000,19480,77
חכמי אתונה 43,shapira,1930,19/8/2014,2,3,600000,12058,85
בן אשר 7,shapira,1960,11/8/2014,4,1,4200000,16064,25
מלבי''ם 12,shapira,1960,11/8/2014,2,2,4200000,12000,50
חכמי אתונה,shapira,1955,08/8/2014,,2.5,555000,17200,50
הרצל 111,shapira,1970,31/7/2014,,3,1990000,23134,67
דרך שלמה 82,shapira,1950,29/7/2014,,2.5,163333,13916,60
"אצ""ל 48",Hatikva,1950,29/12/2014,2,1,580000,15000,30
ברכיה 72,Hatikva,1950,27/12/2014,1,3,850000,6666,75
"אצ""ל 22",Hatikva,1950,21/12/2014,1,1.5,450000,21111,30
המכבש,Hatikva,1948,19/12/2014,2,2,600000,17250,45
גואל,Hatikva,1959,19/12/2014,1,3,1270000,5029,40
אחיעזר 15,Hatikva,1950,15/12/2014,1,3,450000,6666,56
אביטל 19,Hatikva,1960,09/12/2014,1,3,350000,14909,60
שמחה 9,Hatikva,1950,09/12/2014,2,2.5,43750,10916,55
שמחה 9,Hatikva,1950,09/12/2014,1,2.5,36458,11467,60
שמחה 9,Hatikva,2014,09/12/2014,3,3,200000,23456,109
בועז 3,Hatikva,2000,07/12/2014,2,4,950000,10333,81
"אצ""ל 11",Hatikva,1950,07/12/2014,,1.5,200000,14600,30
נדב 10,Hatikva,1970,07/12/2014,,2,690000,14583,50
"אצ""ל 28",Hatikva,1950,03/12/2014,,3,281667,18409,60
רזי 3,Hatikva,2014,02/12/2014,,3,93889,,44
בר יוחאי 45,shapira,1999,20/2/2012,7,1,2530120,148830,17
גולומב 57,shapira,1999,14/2/2012,4,1,21667,29347,23
"הראב""ע 25",shapira,2012,14/2/2012,2,3,675000,22351,54
ישראל מסלנט 18,shapira,2012,07/2/2012,3,3,670000,19229,61
הרצל 121,shapira,1960,07/2/2012,2,3,1207000,11166,60
הרצל 21,shapira,1939,07/2/2012,1,1,1173000,19600,25
האסיף 1,shapira,1970,07/2/2012,1,3,670000,11071,56
חכמי אתונה 22,shapira,1956,05/2/2012,2,3,490000,16521,46
המנור 14,shapira,1960,22/1/2012,1,3,620000,15678,83
המנור 20,shapira,1952,22/1/2012,1,2,620000,17068,58
המנור 20,shapira,1950,22/1/2012,1,4,56563,250,120
לסקר 13,shapira,1970,18/1/2012,2,2,760000,11250,40
אבודרהם 1,shapira,1961,16/1/2012,6,2,1301300,18902,41
שח''ל 8,shapira,1979,16/1/2012,6,2,1301300,5000,75
שערי תשובה 34,shapira,2011,16/1/2012,6,3,1524000,13709,62
שח''ל 8,shapira,1935,16/1/2012,2,2,1301303,134210,38
שערי תשובה 34,shapira,1935,16/1/2012,,2,762000,127500,40
אבודרהם 4,shapira,1935,10/1/2012,,1,990000,98076,15
לסקר 10,shapira,1935,08/1/2012,,2.5,30000,11363,52
בעל העקידה 1,shapira,1970,04/1/2012,,2,450000,3750,110
קרשקש 18,shapira,1950,04/1/2012,,1,700000,18875,16
קרשקש 18,shapira,1970,04/1/2012,,2,700000,16000,40
ידעיה הפניני 1,shapira,2012,01/1/2012,,4,775000,14545,100
שדרות חכמי ישראל 7,shapira,2012,23/12/2011,,2,375000,16000,55
העמל 19,shapira,2012,23/12/2011,,2,375000,12500,50
שח''ל 4,shapira,1970,29/11/2011,,2,702813,12012,50
דרך שלמה 142,shapira,1970,28/11/2011,,3,850000,18064,75
שערי תשובה 5,shapira,1970,20/11/2011,,2.5,5100000,,62
רשפים 13,Hatikva,1960,23/6/2014,2,4,833330,9259,90
"אצ""ל 72",Hatikva,1950,22/6/2014,2,2,8000000,14166,50
אחיעזר 1,Hatikva,1950,17/6/2014,1,3,850000,11142,60
"אצ""ל 11",Hatikva,1950,10/6/2014,1,3,780000,8181,70
עזאי 63,Hatikva,1950,02/6/2014,1,2,450000,17666,55
אביאסף 11,Hatikva,1950,02/6/2014,2,2,530000,13000,30
"אצ""ל 75",Hatikva,1950,01/6/2014,1,2,650000,15000,50
